points/segment = 2000
x-axis,D0-D7
second,
+4.72500E-03,16
+4.75000E-03,16
+4.77500E-03,16
+4.80000E-03,16
+4.82500E-03,16
+4.85000E-03,16
+4.87500E-03,16
+4.90000E-03,16
+4.92500E-03,16
+4.95000E-03,16
+4.97500E-03,16
+5.00000E-03,16
+5.02500E-03,16
+5.05000E-03,16
+5.07500E-03,16
+5.10000E-03,16
+5.12500E-03,16
+5.15000E-03,16
+5.17500E-03,16
+5.20000E-03,16
+5.22500E-03,16
+5.25000E-03,16
+5.27500E-03,16
+5.30000E-03,16
+5.32500E-03,16
+5.35000E-03,16
+5.37500E-03,16
+5.40000E-03,16
+5.42500E-03,16
+5.45000E-03,16
+5.47500E-03,16
+5.50000E-03,16
+5.52500E-03,16
+5.55000E-03,16
+5.57500E-03,16
+5.60000E-03,16
+5.62500E-03,16
+5.65000E-03,16
+5.67500E-03,16
+5.70000E-03,16
+5.72500E-03,16
+5.75000E-03,16
+5.77500E-03,16
+5.80000E-03,16
+5.82500E-03,16
+5.85000E-03,16
+5.87500E-03,16
+5.90000E-03,16
+5.92500E-03,16
+5.95000E-03,16
+5.97500E-03,16
+6.00000E-03,16
+6.02500E-03,16
+6.05000E-03,16
+6.07500E-03,16
+6.10000E-03,16
+6.12500E-03,16
+6.15000E-03,16
+6.17500E-03,16
+6.20000E-03,16
+6.22500E-03,16
+6.25000E-03,16
+6.27500E-03,16
+6.30000E-03,16
+6.32500E-03,16
+6.35000E-03,16
+6.37500E-03,16
+6.40000E-03,16
+6.42500E-03,16
+6.45000E-03,16
+6.47500E-03,16
+6.50000E-03,16
+6.52500E-03,16
+6.55000E-03,16
+6.57500E-03,16
+6.60000E-03,20
+6.62500E-03,20
+6.65000E-03,16
+6.67500E-03,16
+6.70000E-03,20
+6.72500E-03,20
+6.75000E-03,20
+6.77500E-03,16
+6.80000E-03,16
+6.82500E-03,20
+6.85000E-03,20
+6.87500E-03,20
+6.90000E-03,16
+6.92500E-03,16
+6.95000E-03,20
+6.97500E-03,20
+7.00000E-03,20
+7.02500E-03,16
+7.05000E-03,16
+7.07500E-03,20
+7.10000E-03,20
+7.12500E-03,20
+7.15000E-03,16
+7.17500E-03,16
+7.20000E-03,20
+7.22500E-03,20
+7.25000E-03,20
+7.27500E-03,16
+7.30000E-03,16
+7.32500E-03,20
+7.35000E-03,28
+7.37500E-03,24
+7.40000E-03,24
+7.42500E-03,16
+7.45000E-03,20
+7.47500E-03,28
+7.50000E-03,24
+7.52500E-03,24
+7.55000E-03,16
+7.57500E-03,28
+7.60000E-03,28
+7.62500E-03,24
+7.65000E-03,24
+7.67500E-03,20
+7.70000E-03,20
+7.72500E-03,28
+7.75000E-03,24
+7.77500E-03,24
+7.80000E-03,20
+7.82500E-03,28
+7.85000E-03,28
+7.87500E-03,24
+7.90000E-03,24
+7.92500E-03,20
+7.95000E-03,28
+7.97500E-03,28
+8.00000E-03,24
+8.02500E-03,24
+8.05000E-03,20
+8.07500E-03,20
+8.10000E-03,20
+8.12500E-03,16
+8.15000E-03,16
+8.17500E-03,20
+8.20000E-03,20
+8.22500E-03,20
+8.25000E-03,16
+8.27500E-03,16
+8.30000E-03,20
+8.32500E-03,20
+8.35000E-03,16
+8.37500E-03,16
+8.40000E-03,20
+8.42500E-03,20
+8.45000E-03,20
+8.47500E-03,16
+8.50000E-03,16
+8.52500E-03,16
+8.55000E-03,20
+8.57500E-03,20
+8.60000E-03,16
+8.62500E-03,16
+8.65000E-03,20
+8.67500E-03,20
+8.70000E-03,20
+8.72500E-03,16
+8.75000E-03,16
+8.77500E-03,20
+8.80000E-03,20
+8.82500E-03,20
+8.85000E-03,16
+8.87500E-03,16
+8.90000E-03,20
+8.92500E-03,20
+8.95000E-03,20
+8.97500E-03,16
+9.00000E-03,16
+9.02500E-03,20
+9.05000E-03,20
+9.07500E-03,20
+9.10000E-03,16
+9.12500E-03,16
+9.15000E-03,20
+9.17500E-03,20
+9.20000E-03,20
+9.22500E-03,16
+9.25000E-03,16
+9.27500E-03,20
+9.30000E-03,20
+9.32500E-03,20
+9.35000E-03,16
+9.37500E-03,16
+9.40000E-03,20
+9.42500E-03,20
+9.45000E-03,16
+9.47500E-03,16
+9.50000E-03,16
+9.52500E-03,20
+9.55000E-03,20
+9.57500E-03,16
+9.60000E-03,16
+9.62500E-03,20
+9.65000E-03,20
+9.67500E-03,20
+9.70000E-03,16
+9.72500E-03,16
+9.75000E-03,20
+9.77500E-03,20
+9.80000E-03,28
+9.82500E-03,24
+9.85000E-03,24
+9.87500E-03,20
+9.90000E-03,28
+9.92500E-03,28
+9.95000E-03,24
+9.97500E-03,24
+10.00000E-03,20
+10.02500E-03,28
+10.05000E-03,28
+10.07500E-03,24
+10.10000E-03,24
+10.12500E-03,20
+10.15000E-03,20
+10.17500E-03,20
+10.20000E-03,16
+10.22500E-03,16
+10.25000E-03,20
+10.27500E-03,20
+10.30000E-03,20
+10.32500E-03,16
+10.35000E-03,16
+10.37500E-03,20
+10.40000E-03,20
+10.42500E-03,16
+10.45000E-03,16
+10.47500E-03,16
+10.50000E-03,20
+10.52500E-03,20
+10.55000E-03,16
+10.57500E-03,16
+10.60000E-03,16
+10.62500E-03,20
+10.65000E-03,20
+10.67500E-03,16
+10.70000E-03,16
+10.72500E-03,20
+10.75000E-03,20
+10.77500E-03,20
+10.80000E-03,16
+10.82500E-03,16
+10.85000E-03,20
+10.87500E-03,20
+10.90000E-03,20
+10.92500E-03,16
+10.95000E-03,16
+10.97500E-03,20
+11.00000E-03,20
+11.02500E-03,20
+11.05000E-03,16
+11.07500E-03,16
+11.10000E-03,20
+11.12500E-03,20
+11.15000E-03,20
+11.17500E-03,16
+11.20000E-03,16
+11.22500E-03,20
+11.25000E-03,20
+11.27500E-03,20
+11.30000E-03,16
+11.32500E-03,16
+11.35000E-03,20
+11.37500E-03,20
+11.40000E-03,20
+11.42500E-03,16
+11.45000E-03,16
+11.47500E-03,20
+11.50000E-03,20
+11.52500E-03,16
+11.55000E-03,16
+11.57500E-03,20
+11.60000E-03,20
+11.62500E-03,20
+11.65000E-03,16
+11.67500E-03,16
+11.70000E-03,16
+11.72500E-03,20
+11.75000E-03,20
+11.77500E-03,16
+11.80000E-03,16
+11.82500E-03,20
+11.85000E-03,28
+11.87500E-03,28
+11.90000E-03,24
+11.92500E-03,24
+11.95000E-03,20
+11.97500E-03,20
+12.00000E-03,20
+12.02500E-03,16
+12.05000E-03,16
+12.07500E-03,20
+12.10000E-03,20
+12.12500E-03,20
+12.15000E-03,16
+12.17500E-03,16
+12.20000E-03,20
+12.22500E-03,20
+12.25000E-03,20
+12.27500E-03,16
+12.30000E-03,16
+12.32500E-03,20
+12.35000E-03,20
+12.37500E-03,16
+12.40000E-03,16
+12.42500E-03,16
+12.45000E-03,20
+12.47500E-03,20
+12.50000E-03,16
+12.52500E-03,16
+12.55000E-03,16
+12.57500E-03,20
+12.60000E-03,20
+12.62500E-03,16
+12.65000E-03,16
+12.67500E-03,20
+12.70000E-03,20
+12.72500E-03,20
+12.75000E-03,16
+12.77500E-03,16
+12.80000E-03,20
+12.82500E-03,20
+12.85000E-03,20
+12.87500E-03,16
+12.90000E-03,16
+12.92500E-03,20
+12.95000E-03,28
+12.97500E-03,28
+13.00000E-03,24
+13.02500E-03,24
+13.05000E-03,20
+13.07500E-03,20
+13.10000E-03,20
+13.12500E-03,16
+13.15000E-03,16
+13.17500E-03,20
+13.20000E-03,28
+13.22500E-03,28
+13.25000E-03,24
+13.27500E-03,16
+13.30000E-03,20
+13.32500E-03,20
+13.35000E-03,20
+13.37500E-03,16
+13.40000E-03,16
+13.42500E-03,20
+13.45000E-03,20
+13.47500E-03,16
+13.50000E-03,16
+13.52500E-03,16
+13.55000E-03,20
+13.57500E-03,20
+13.60000E-03,16
+13.62500E-03,16
+13.65000E-03,20
+13.67500E-03,20
+13.70000E-03,20
+13.72500E-03,16
+13.75000E-03,16
+13.77500E-03,20
+13.80000E-03,20
+13.82500E-03,28
+13.85000E-03,24
+13.87500E-03,24
+13.90000E-03,20
+13.92500E-03,28
+13.95000E-03,28
+13.97500E-03,24
+14.00000E-03,24
+14.02500E-03,20
+14.05000E-03,20
+14.07500E-03,20
+14.10000E-03,16
+14.12500E-03,16
+14.15000E-03,20
+14.17500E-03,20
+14.20000E-03,20
+14.22500E-03,16
+14.25000E-03,16
+14.27500E-03,20
+14.30000E-03,20
+14.32500E-03,20
+14.35000E-03,16
+14.37500E-03,16
+14.40000E-03,20
+14.42500E-03,20
+14.45000E-03,16
+14.47500E-03,16
+14.50000E-03,20
+14.52500E-03,20
+14.55000E-03,20
+14.57500E-03,16
+14.60000E-03,16
+14.62500E-03,16
+14.65000E-03,20
+14.67500E-03,20
+14.70000E-03,16
+14.72500E-03,16
+14.75000E-03,20
+14.77500E-03,20
+14.80000E-03,20
+14.82500E-03,16
+14.85000E-03,16
+14.87500E-03,20
+14.90000E-03,20
+14.92500E-03,20
+14.95000E-03,16
+14.97500E-03,16
+15.00000E-03,20
+15.02500E-03,20
+15.05000E-03,20
+15.07500E-03,16
+15.10000E-03,16
+15.12500E-03,20
+15.15000E-03,20
+15.17500E-03,20
+15.20000E-03,16
+15.22500E-03,16
+15.25000E-03,20
+15.27500E-03,20
+15.30000E-03,20
+15.32500E-03,16
+15.35000E-03,16
+15.37500E-03,20
+15.40000E-03,20
+15.42500E-03,20
+15.45000E-03,16
+15.47500E-03,16
+15.50000E-03,20
+15.52500E-03,20
+15.55000E-03,16
+15.57500E-03,16
+15.60000E-03,16
+15.62500E-03,20
+15.65000E-03,20
+15.67500E-03,16
+15.70000E-03,16
+15.72500E-03,20
+15.75000E-03,20
+15.77500E-03,20
+15.80000E-03,16
+15.82500E-03,16
+15.85000E-03,20
+15.87500E-03,20
+15.90000E-03,20
+15.92500E-03,16
+15.95000E-03,16
+15.97500E-03,20
+16.00000E-03,20
+16.02500E-03,20
+16.05000E-03,16
+16.07500E-03,16
+16.10000E-03,20
+16.12500E-03,20
+16.15000E-03,20
+16.17500E-03,16
+16.20000E-03,16
+16.22500E-03,20
+16.25000E-03,20
+16.27500E-03,20
+16.30000E-03,16
+16.32500E-03,16
+16.35000E-03,20
+16.37500E-03,20
+16.40000E-03,16
+16.42500E-03,16
+16.45000E-03,16
+16.47500E-03,20
+16.50000E-03,20
+16.52500E-03,16
+16.55000E-03,16
+16.57500E-03,16
+16.60000E-03,20
+16.62500E-03,20
+16.65000E-03,16
+16.67500E-03,16
+16.70000E-03,16
+16.72500E-03,20
+16.75000E-03,28
+16.77500E-03,24
+16.80000E-03,24
+16.82500E-03,20
+16.85000E-03,20
+16.87500E-03,20
+16.90000E-03,16
+16.92500E-03,16
+16.95000E-03,20
+16.97500E-03,20
+17.00000E-03,20
+17.02500E-03,16
+17.05000E-03,16
+17.07500E-03,20
+17.10000E-03,20
+17.12500E-03,20
+17.15000E-03,16
+17.17500E-03,16
+17.20000E-03,20
+17.22500E-03,20
+17.25000E-03,20
+17.27500E-03,16
+17.30000E-03,16
+17.32500E-03,20
+17.35000E-03,20
+17.37500E-03,20
+17.40000E-03,16
+17.42500E-03,16
+17.45000E-03,20
+17.47500E-03,20
+17.50000E-03,20
+17.52500E-03,16
+17.55000E-03,16
+17.57500E-03,20
+17.60000E-03,20
+17.62500E-03,16
+17.65000E-03,16
+17.67500E-03,20
+17.70000E-03,20
+17.72500E-03,20
+17.75000E-03,16
+17.77500E-03,16
+17.80000E-03,16
+17.82500E-03,20
+17.85000E-03,28
+17.87500E-03,24
+17.90000E-03,24
+17.92500E-03,16
+17.95000E-03,16
+17.97500E-03,16
+18.00000E-03,16
+18.02500E-03,16
+18.05000E-03,16
+18.07500E-03,16
+18.10000E-03,16
+18.12500E-03,16
+18.15000E-03,16
+18.17500E-03,16
+18.20000E-03,16
+18.22500E-03,16
+18.25000E-03,16
+18.27500E-03,16
+18.30000E-03,16
+18.32500E-03,16
+18.35000E-03,16
+18.37500E-03,16
+18.40000E-03,16
+18.42500E-03,16
+18.45000E-03,16
+18.47500E-03,16
+18.50000E-03,16
+18.52500E-03,16
+18.55000E-03,16
+18.57500E-03,16
+18.60000E-03,16
+18.62500E-03,16
+18.65000E-03,16
+18.67500E-03,16
+18.70000E-03,16
+18.72500E-03,16
+18.75000E-03,16
+18.77500E-03,16
+18.80000E-03,16
+18.82500E-03,16
+18.85000E-03,16
+18.87500E-03,16
+18.90000E-03,16
+18.92500E-03,16
+18.95000E-03,16
+18.97500E-03,16
+19.00000E-03,16
+19.02500E-03,16
+19.05000E-03,16
+19.07500E-03,16
+19.10000E-03,16
+19.12500E-03,16
+19.15000E-03,16
+19.17500E-03,16
+19.20000E-03,16
+19.22500E-03,16
+19.25000E-03,16
+19.27500E-03,16
+19.30000E-03,16
+19.32500E-03,16
+19.35000E-03,16
+19.37500E-03,16
+19.40000E-03,16
+19.42500E-03,16
+19.45000E-03,16
+19.47500E-03,16
+19.50000E-03,16
+19.52500E-03,16
+19.55000E-03,16
+19.57500E-03,16
+19.60000E-03,16
+19.62500E-03,16
+19.65000E-03,16
+19.67500E-03,16
+19.70000E-03,16
+19.72500E-03,16
+19.75000E-03,16
+19.77500E-03,16
+19.80000E-03,16
+19.82500E-03,16
+19.85000E-03,16
+19.87500E-03,16
+19.90000E-03,16
+19.92500E-03,16
+19.95000E-03,16
+19.97500E-03,16
+20.00000E-03,16
+20.02500E-03,16
+20.05000E-03,16
+20.07500E-03,16
+20.10000E-03,16
+20.12500E-03,16
+20.15000E-03,16
+20.17500E-03,16
+20.20000E-03,16
+20.22500E-03,16
+20.25000E-03,16
+20.27500E-03,16
+20.30000E-03,16
+20.32500E-03,16
+20.35000E-03,16
+20.37500E-03,16
+20.40000E-03,16
+20.42500E-03,16
+20.45000E-03,16
+20.47500E-03,16
+20.50000E-03,16
+20.52500E-03,16
+20.55000E-03,16
+20.57500E-03,16
+20.60000E-03,16
+20.62500E-03,16
+20.65000E-03,16
+20.67500E-03,16
+20.70000E-03,16
+20.72500E-03,16
+20.75000E-03,16
+20.77500E-03,16
+20.80000E-03,16
+20.82500E-03,16
+20.85000E-03,16
+20.87500E-03,16
+20.90000E-03,16
+20.92500E-03,16
+20.95000E-03,16
+20.97500E-03,16
+21.00000E-03,16
+21.02500E-03,16
+21.05000E-03,16
+21.07500E-03,16
+21.10000E-03,16
+21.12500E-03,16
+21.15000E-03,16
+21.17500E-03,16
+21.20000E-03,16
+21.22500E-03,16
+21.25000E-03,16
+21.27500E-03,16
+21.30000E-03,16
+21.32500E-03,16
+21.35000E-03,16
+21.37500E-03,16
+21.40000E-03,16
+21.42500E-03,16
+21.45000E-03,16
+21.47500E-03,16
+21.50000E-03,16
+21.52500E-03,16
+21.55000E-03,16
+21.57500E-03,16
+21.60000E-03,16
+21.62500E-03,16
+21.65000E-03,16
+21.67500E-03,16
+21.70000E-03,16
+21.72500E-03,16
+21.75000E-03,16
+21.77500E-03,16
+21.80000E-03,16
+21.82500E-03,16
+21.85000E-03,16
+21.87500E-03,16
+21.90000E-03,16
+21.92500E-03,16
+21.95000E-03,16
+21.97500E-03,16
+22.00000E-03,16
+22.02500E-03,16
+22.05000E-03,16
+22.07500E-03,16
+22.10000E-03,16
+22.12500E-03,16
+22.15000E-03,16
+22.17500E-03,16
+22.20000E-03,16
+22.22500E-03,16
+22.25000E-03,16
+22.27500E-03,16
+22.30000E-03,16
+22.32500E-03,16
+22.35000E-03,16
+22.37500E-03,16
+22.40000E-03,16
+22.42500E-03,16
+22.45000E-03,16
+22.47500E-03,16
+22.50000E-03,16
+22.52500E-03,16
+22.55000E-03,16
+22.57500E-03,16
+22.60000E-03,16
+22.62500E-03,16
+22.65000E-03,16
+22.67500E-03,16
+22.70000E-03,16
+22.72500E-03,16
+22.75000E-03,16
+22.77500E-03,16
+22.80000E-03,16
+22.82500E-03,16
+22.85000E-03,16
+22.87500E-03,16
+22.90000E-03,16
+22.92500E-03,16
+22.95000E-03,16
+22.97500E-03,16
+23.00000E-03,16
+23.02500E-03,16
+23.05000E-03,16
+23.07500E-03,16
+23.10000E-03,16
+23.12500E-03,16
+23.15000E-03,16
+23.17500E-03,16
+23.20000E-03,16
+23.22500E-03,16
+23.25000E-03,16
+23.27500E-03,16
+23.30000E-03,16
+23.32500E-03,16
+23.35000E-03,16
+23.37500E-03,16
+23.40000E-03,16
+23.42500E-03,16
+23.45000E-03,16
+23.47500E-03,16
+23.50000E-03,16
+23.52500E-03,16
+23.55000E-03,16
+23.57500E-03,16
+23.60000E-03,16
+23.62500E-03,16
+23.65000E-03,16
+23.67500E-03,16
+23.70000E-03,16
+23.72500E-03,16
+23.75000E-03,16
+23.77500E-03,16
+23.80000E-03,16
+23.82500E-03,16
+23.85000E-03,16
+23.87500E-03,16
+23.90000E-03,16
+23.92500E-03,16
